Formulacja	pH	Przewodnictwo	Gestosc	Lepkosc	Zmetnienie	Wspolczynnik_refrakcji	Napiecie_powierzchniowe
ME1a	5.79	47.77	0.9485	101.3	12.22	1.425	28.62
ME1b	5.68	14.43	0.9805	476.8	27.22	1.383	36.22
ME3a	4.73	41.93	0.9723	90.3	2.04	1.424	28.62
ME3b	5.45	25.9	0.9896	110.6	166.26	1.368	32.74
ME4a	5.39	112.63	0.9692	78.4	2.04	1.434	28.85
ME4b	5.36	253	0.9921	93.3	5.94	1.407	27.74
ME6a	5.43	0.56	0.9511	30	200	1.426	28.27
ME6b	5.59	33.03	1.0092	23.7	30.18	1.373	28.38
ME7a	4.86	29.67	0.9893	109.1	7.29	1.441	30.37
ME7b	5.38	321	1.0023	57.3	1.7	1.381	29.7
ME9a	5.77	0.56	0.9371	28.4	0.7	1.436	29.05
ME9b	4.66	251.33	0.9925	44.9	93.55	1.385	28.81
ME16a	3.11	88.5	0.9562	28.1	3.78	1.415	29.91
ME16b	5.4	259.33	0.9821	49.9	18.81	1.374	28.35
ME17a	5.17	32.43	1.0274	113.6	0.31	1.442	29.9
ME17b	5.46	34.53	1.0105	122	67.35	1.361	27.23
ME20a	6.02	16.6	1.0136	176.7	0.84	1.437	30.62
ME20b	5.35	125.6	1.006	8.6	0.32	1.358	29.81
